Area,Bedrooms,Bathrooms,YearBuilt,City,Garage,HousePrice
425,3,4,,Nashik,Unknown,388874
725,6,3,,Nashik,Unknown,503004
1730,4,4,1800,Kolhapur,Unknown,645003
-513,1,5,,Nashik,No,276283
3848,2,5,3025,Mumbai,no,"$924,281"
1137,4,5,1975,Mumbai,No,568277
-955,3,1,3025,Nagpur,YES,323199
2872,4,5,, pune , ,875817
3463,2,1,1983,Kolhapur,Yes,723465
2845,1,4,3025,Nashik,Yes,652523
2687,3,1,3025,Nashik,Yes,648243
1143 sqft,4,4,3025,unknown, ,"$494,318"
1728,1,4,2018,Nashik, ,509141
3422 sqft,1,5,,Nashik,Yes,770222
"3,609",1,1,1800,???,YES,"$752,894"
423 sqft,1,5,,Mumbai,No,267352
923,,2,1953,unknown,YES,349925
3186,5,5,3025,Pune,No,926196
1970 sqft,1,5,1957,Nagpur,Unknown,578661
3619,4,4,1800,Nashik,YES,1001025
3638,2,1,1800, pune , ,757089
"1,794",6,2,1800, pune ,Yes,699817
2275,3,1,1800,unknown, ,633944
1845,5,4,1958,Nashik,Unknown,663744
3858,1,1,,Nagpur,Yes,770247
-1902,5,1,1800,Mumbai,no,624499
1332 sqft,1,5,,???,No,422894
"1,853",4,2,1800,unknown, ,550283
2067,1,2,,Nashik,Unknown,500423
3870,1,3,1991,Pune,no,"$834,391"
999,,2,1800,???,no,
"1,674",1,4,1800,Pune, ,481739
622,3,2,,Nagpur,Yes,359477
425,1,3,1800,Kolhapur,Yes,247827
3209 sqft,5,1,1800,Kolhapur,No,841029
1582,,5,3025,Nashik,No,442079
2181,3,2,,Mumbai,YES,571933
3897,4,2,3025, pune , ,"$930,647"
1989,5,2,1800,Nagpur,no,640279
3528,4,5,3025,unknown,Unknown,"$994,964"
3365,4,1,1800,Nagpur, ,"$836,040"
1513,6,3,2022,Kolhapur, ,643932
3650,4,1,,???,Yes,886016
3355 sqft,5,5,2020,???,no,"$964,843"
3869,2,2,2023,Kolhapur,No,842946
3128,4,2,3025, pune ,no,"$840,011"
3434 sqft,1,5,1980, pune ,No,835433
1245 sqft,2,2,,Kolhapur,No,367373
3463,1,3,2021,Pune,Yes,796356
3215,4,3,1800,Kolhapur,YES,819987
-1572,6,4,2004,Nagpur,Unknown,690268
1395,5,5,3025,Kolhapur,No,686875
2128,2,3,1800,Kolhapur,No,601112
-2415,3,2,1800,Kolhapur,YES,660627
1627,1,3,1800, pune ,YES,417352
3711,1,1,2005,unknown,Yes,729065
3659,4,4,1800,Pune,No,
2348,6,1,1800,Nashik,Yes,725510
2994,5,2,1800, pune , ,"$860,152"
2582,2,3,1800,unknown,No,634045
2419,6,2,,Nagpur,YES,756831
1611,3,1,1965,Nagpur,No,518859
2502,,1,1991,Nagpur,No,"$681,074"
2746,5,5,3025,unknown,Unknown,"$930,255"
2210,6,5,,Nagpur,No,
3500,3,5,3025,Nagpur,YES,880076
903,6,5,1950,Kolhapur,No,629093
3588,6,3,3025,Nashik,No,
3250,2,1,,Pune, ,683929
996,1,4,1981, pune ,No,388525
3943,3,5,2018,unknown,Unknown,1016927
3657,6,2,2022,???, ,1034219
806,,3,, pune ,Yes,490431
2372,4,2,1800,Mumbai,Unknown,668421
"1,632",1,5,2011,Nashik,no,503658
2397 sqft,3,2,1800,???,Unknown,606122
828,3,1,1976,Nashik, ,358782
2499,1,3,3025,Nagpur,No,615045
3048,3,1,1800,Kolhapur,YES,"$713,989"
1983,4,4,3025, pune ,No,724701
1489,1,3,1800,Nashik,no,360042
641 sqft,3,5,2022,Nashik,YES,444006
439,1,1,,Nashik,no,"$156,813"
3841,,1,2025, pune ,No,829469
2895,3,1,3025,Nagpur,No,
1473,1,4,3025,Nashik, ,396362
1316,3,5,3025,???,Unknown,581290
2340,2,2,1800,unknown,Yes,606168
3833,3,3,3025,Mumbai,YES,951976
3683,3,1,1800,Pune,no,797121
1183,6,5,1972, pune , ,676667
1526,4,4,1800,Nagpur,no,571571
1040,1,1,1978, pune ,YES,256072
822,3,4,3025,Pune, ,459006
1556,2,3,,???, ,505363
"1,916",6,3,,unknown,No,757909
3166,1,4,1800,Nashik,No,762387
3091,3,1,1800, pune ,Unknown,707323
3981,1,3,3025,Mumbai,Yes,894233
1647,1,2,3025,Pune,Yes,392238
3428,1,4,1970,Pune, ,746834
3112,1,5,,Kolhapur,No,771550
3341 sqft,1,5,,unknown,Unknown,"$794,823"
1910,4,5,,Nagpur,No,718549
1795,1,4,3025,Mumbai, ,"$535,606"
3485,3,3,1800, pune ,no,831122
765 sqft,2,1,1955,Pune,no,317234
"3,815",3,5,2023,???,No,973082
754,1,1,1967, pune ,YES,214777
3848 sqft,3,4,,???, ,944343
3776,4,2,3025,Nagpur,No,949324
1087,4,3,1800,Nashik, ,"$533,133"
1848,2,1,3025,unknown,no,422812
888,3,2,1800,Pune,Unknown,366795
3030,5,2,,Kolhapur,no,846471
"3,085",4,2,,Pune,no,819160
493,2,5,3025, pune ,YES,339479
467,4,1,3025,Mumbai,no,309783
2165,,5,3025,Nagpur,no,817960
3122,5,1,,Kolhapur,Yes,857419
2411,2,4,1800,???, ,629616
1614,5,3,,Nashik,Yes,632374
2146,3,3,,Nashik,Yes,"$662,579"
3108,5,5,2001,Pune,No,944835
"2,324",3,2,,Kolhapur,no,"$630,515"
1122,1,2,2018, pune , ,282466
"1,845",4,2,3025,unknown,No,559714
3739 sqft,3,4,3025, pune ,Unknown,"$983,270"
3458,4,1,1999,Nashik,no,895921
1702,5,4,2017,Mumbai,No,684032
3928,2,2,,unknown,YES,833204
-3245,3,4,1800,Pune, ,875887
2054 sqft,2,4,3025,Nagpur,Yes,632296
1155,2,4,3025, pune , ,388398
783,5,3,,Nashik,Yes,524564
2477,4,2,3025, pune ,No,733603
1246,5,5,,Pune, ,"$602,278"
2844,1,4,,Nashik,YES,636445
1133,1,4,, pune ,YES,384628
2820,4,4,1800, pune ,No,856708
2301 sqft,6,1,1991,Nagpur,Unknown,
3326,5,4,, pune ,Unknown,951269
1349,5,4,,Nashik,Unknown,652177
"3,083",5,3,1800,Nagpur, ,912467
"2,419",2,5,1961,Mumbai, ,653405
2641,4,5,3025,???,Yes,849896
895,5,3,,???, ,486392
3527,1,3,1800,unknown,no,789742
2535,3,5,1975,???,YES,729855
2043,4,1,,Kolhapur,Yes,604554
1965,3,5,2010, pune ,No,
3545,1,2,,Pune,no,777724
"2,736",3,5,1968, pune , ,767516
-1867,3,4,3025,unknown,No,564187
-2600,1,4,,Mumbai,Yes,651044
2954,1,1,,unknown,YES,"$608,893"
1213,1,4,,unknown, ,374443
1908,5,2,2008, pune ,Unknown,
722,6,5,1800,Nagpur,YES,599113
2659,1,4,3025,unknown,Yes,"$666,432"
1780,1,3,,???,YES,503946
1338,6,3,1800,unknown, ,"$623,312"
456,1,5,2001,Kolhapur,YES,304006
2763,6,1,3025,???,No,827493
2929,1,3,,Mumbai,Unknown,668616
"2,921",4,4,1978,Nagpur,YES,883435
-2152,3,1,1973,Nagpur,YES,550439
"3,817",,4,, pune ,Yes,989523
3409,4,1,3025,Mumbai,YES,889736
764,3,2,, pune ,YES,327410
2355,3,1,,Pune, ,602850
2962,2,1,3025,unknown,Yes,701017
1817,1,4,2006,unknown,no,471998
3401,2,5,2013, pune ,Unknown,852442
554,4,3,,Kolhapur,YES,435575
706,4,5,1998,Mumbai,No,460164
2575,5,4,3025,Mumbai,no,"$869,982"
-1673,5,5,3025,Nagpur,Yes,739605
1628,1,4,1954,???,no,462557
2789,5,3,3025,???,Yes,845299
540,4,3,3025,???,No,364748
1985,5,4,3025,unknown,no,756668
809,6,5,1800,???,YES,645030
1367,5,4,3025,Nashik,No,
3618,2,1,,Nagpur,No,749330
457,1,1,,unknown, ,151045
464,3,4,1800,Nashik,no,326220
-2210,2,3,3025,Mumbai,No,617432
3009,1,1,2014,Nagpur, ,606119
914,1,1,1800,Pune,no,"$218,054"
3930,1,4,, pune ,No,874433
738,5,2,1800,unknown, ,490656
3594,5,3,1950,unknown,Yes,1012689
3059,,5,1951,???,No,790164
-648,4,5,3025, pune ,YES,453347
3293,6,4,,Nashik,Unknown,1017760
2104,2,1,1800,Nagpur,Yes,510349
2789,6,1,1955,Pune,Yes,806010
1090,,5,3025,Nagpur,No,378604
2554 sqft,5,1,3025,Pune, ,691909
-2690,5,1,3025,unknown, ,742481
"1,336",4,4,,???,YES,580313
2901,4,2,1800,Kolhapur,Unknown,818970
-3525,5,5,1984,Nagpur,YES,1058940
"-1,788",3,2,3025,Nagpur,no,528937
1175,1,2,1800,Kolhapur,no,304072
"2,585",2,4,2018,Nashik,no,697265
818 sqft,6,1,1970, pune ,Yes,487970
608,2,5,3025,Nashik, ,340341
2502,5,3,1800,Kolhapur,Unknown,"$812,233"
"1,476",4,3,1800, pune ,Yes,"$561,534"
3864 sqft,4,2,3025,???,YES,936939
3984,1,4,1978,Mumbai,YES,881567
1636,2,4,1800, pune ,Yes,503830
2551,6,1,3025,Nashik,Yes,812054
1771,3,1,1800,???,Yes,521088
2773,6,2,3025,Nagpur, ,
1568,3,4,, pune ,No,506700
"1,577",1,3,,???,no,383002
3159,5,4,,Nagpur,No,980817
3465,6,2,3025,Kolhapur,no,962287
1582,6,3,3025,Nagpur,Unknown,
2875,2,2,3025,unknown,Yes,708455
925,1,3,1800,???, ,325170
1476 sqft,6,5,3025,Nashik,Unknown,
2578,4,1,3025,unknown,Unknown,725510
-3341,5,2,3025,???,no,"$936,629"
978,2,2,1989,Nagpur,Unknown,329722
3357,2,1,1800,unknown,Unknown,760066
1868,6,2,1800,Mumbai,Yes,680393
2903,2,5,1800,Nagpur,no,768764
"1,695",5,2,,Pune, ,572084
-2961,6,5,3025,Nashik, ,997115
2984,,4,1996,Pune,YES,"$902,889"
3798,6,4,1800,unknown,YES,1078481
859,1,1,1997,Pune,Unknown,265543
3483,6,2,2005,Nagpur,Yes,"$992,682"
1855,3,4,, pune ,Yes,"$578,233"
1154,6,3,3025,unknown,YES,631947
2730,5,2,,unknown, ,802064
2365,6,4,1989, pune ,No,817101
3016,4,2,3025,unknown, ,807409
1005,1,4,2000,???,no,"$345,890"
3254 sqft,5,5,3025,Pune,Yes,"$961,578"
-3340,,1,,Pune,no,756142
2319 sqft,1,3,,Mumbai,Unknown,521572
3065,6,5,,Nagpur,YES,1006578
2253,4,2,1800,Nashik,YES,651841
2407,1,3,1967,unknown, ,590844
3395,3,1,,unknown,no,747257
3904,1,5,1800,Kolhapur, ,905838
2292,3,3,2006,Nashik,Yes,686154
3400,4,1,2007,unknown,Yes,806707
1094,3,2,,Kolhapur,no,395504
2862,3,5,2011,Mumbai, ,798591
2339 sqft,6,5,1800,Kolhapur,No,843121
3262,1,2,2019,???,YES,662123
1379,3,3,2003,Pune,YES,458244
817,1,2,3025,Mumbai,YES,216220
3583,2,4,3025,Kolhapur,Unknown,838667
780,4,1,1978,unknown,YES,341732
2138,2,1,1987,Mumbai,Unknown,
-2955,6,4,1800,Nagpur,No,961662
-1825,1,3,,Nashik,no,455371
3109,1,3,,Nashik,Yes,737521
3907,3,5,1800,???,No,1014361
3940 sqft,3,2,2004,Pune,No,885245
920,6,2,2020,unknown, ,"$575,303"
2981,6,2,2008,Nagpur,Unknown,907217
1940,4,2,,Mumbai,YES,"$652,209"
468,1,2,,Nagpur,Unknown,242599
1421,3,1,, pune ,YES,412657
2332,2,5,,Nagpur,YES,"$700,924"
532 sqft,3,4,1956,Mumbai,no,321989
3619,5,2,,Mumbai, ,1005704
1175 sqft,3,5,3025,unknown,Unknown,477792
3540,5,1,1800,Nashik,YES,916542
-714,1,1,3025,Nashik,no,178939
874,,1,1997, pune ,no,354168
466,5,4,, pune ,Unknown,496727
3828,,2,2002,Nagpur,YES,"$1,077,954"
2887,2,4,2020,???,No,727037
403,5,5,,unknown,No,455467
3167,5,2,1953,Nagpur, ,874401
1948,4,3,1973,unknown, ,678617
1224,5,3,1800,???,no,538949
1564,3,4,,Pune,no,519098
2416,4,4,1800,unknown,Unknown,789648
3934,2,2,1800,Pune,no,889135
2441,6,3,1800,unknown,YES,845923
3705,6,4,, pune , ,1130588
3797,2,3,,Nashik,Unknown,908490
1792,5,4,3025,Kolhapur,Unknown,688291
831,5,1,3025,Nagpur,Unknown,
3476,3,2,3025,Mumbai,YES,846447
1319 sqft,1,5,3025, pune , ,476937
2156,1,1,3025, pune , ,"$460,185"
1773,6,5,1800,Nashik,Unknown,816499
"2,022",2,1,1984,Kolhapur,no,451713
-1240,,2,1800,unknown,Unknown,414557
3048,2,3,1800,Pune,Unknown,737707
2052,5,4,,???,No,787108
2466,1,1,1972,unknown,YES,506799
-1096,3,2,1976,Nashik,No,451484
1099,3,4,,Nashik,no,"$423,814"
2342 sqft,6,4,3025,unknown,no,848700
1900,4,1,3025,Kolhapur,YES,"$565,034"
2000,5,2,1800,???,YES,664072
626,2,4,1999, pune ,Yes,331329
2219,2,3,1994,unknown,Unknown,590747
3478,1,5,2007,unknown,Unknown,867747
-1293,3,2,1800,Nashik,Yes,394115
3335,1,2,,Nagpur,Unknown,665404
751,3,4,1800,Pune,No,404770
2155,5,5,1800,Nashik, ,744348
3492,,3,3025,Nashik,Unknown,977949
3643,3,4,1971,unknown,Yes,919031
1524,,3,2022,Nagpur,no,500103
1185,4,1,3025,Pune,Yes,"$472,652"
410,6,2,, pune ,No,436982
2511,1,1,,Nashik, ,488772
2496 sqft,1,3,3025,Kolhapur, ,540965
2559 sqft,5,4,,Nagpur,No,857780
1731,,1,, pune ,No,360729
2780,6,1,,Nashik,No,870982
3465,2,1,1800,Nagpur,YES,
"1,346",2,2,1979,unknown,no,360983
"2,699",1,2,1800,Kolhapur,No,558122
-1645,2,4,2013,Kolhapur,No,473223
3592 sqft,1,3,1961,Pune,No,819499
413,1,1,3025,Pune,No,139138
2512,,5,3025,Kolhapur,No,817966
3332,1,4,3025,Mumbai,YES,774282
1766,6,1,,Nashik,Unknown,685852
1460,6,3,3025,Nashik,Unknown,645089
1646,,5,3025,???,Yes,683666
